,season,constructor,fault
1252,2017,williams,0
1253,2014,caterham,0
1254,2014,red_bull,0
1255,2015,red_bull,1
1256,2016,red_bull,0
1257,2017,red_bull,0
1258,2018,red_bull,0
1259,2019,renault,0
1260,2020,renault,0
1261,2020,renault,0
1262,2021,mclaren,0
1263,2015,manor,0
1264,2015,alfa,1
1265,2016,alfa,0
1266,2015,alphatauri,1
1267,2016,alphatauri,0
1270,2019,mclaren,0
1271,2020,mclaren,0
1272,2020,mclaren,0
1273,2021,ferrari,0
1275,2016,red_bull,0
1276,2017,red_bull,0
1277,2018,red_bull,1
1278,2019,red_bull,0
1279,2020,red_bull,0
1280,2020,red_bull,0
1282,2015,manor,0
1283,2016,renault,1
1284,2017,renault,1
1286,2017,alfa,0
1288,2017,mclaren,0
1289,2018,mclaren,0
1290,2017,racing_point,0
1291,2018,racing_point,0
1292,2020,renault,0
1293,2020,renault,0
1294,2021,renault,0
1296,2020,alfa,0
1297,2020,alfa,0
1298,2021,alfa,0
1299,2017,williams,0
1300,2018,williams,0
1301,2019,racing_point,0
1302,2020,racing_point,0
1303,2020,racing_point,0
1304,2021,racing_point,0
1305,2018,alphatauri,0
1306,2019,red_bull,0
1307,2020,alphatauri,0
1308,2020,alphatauri,0
1309,2021,alphatauri,0
1310,2018,alphatauri,1
1312,2019,ferrari,0
1313,2020,ferrari,0
1314,2020,ferrari,0
1315,2021,ferrari,0
1316,2018,williams,0
